Classifier,FE,K,FE_F1_mean,Baseline_F1_mean,p_value,significant (alpha=0.05)
DT,PCA,4,0.8908854909703707,0.8906507554807256,0.625,No
DT,PCA,8,0.8930515248554002,0.8906507554807256,0.0625,No
DT,PCA,16,0.8898523434885874,0.8906507554807256,0.125,No
DT,LDA,4,0.8916108377621503,0.8906507554807256,0.0625,No
DT,LDA,8,0.891640476828538,0.8906507554807256,0.0625,No
DT,LDA,16,0.8892289901252507,0.8906507554807256,0.625,No
DT,KernelPCA,4,0.8535456653681447,0.8906507554807256,0.0625,No
DT,KernelPCA,8,0.8157607204597014,0.8906507554807256,0.0625,No
DT,KernelPCA,16,0.8153127124258729,0.8906507554807256,0.0625,No
DT,AutoEncoder,4,0.8462070623932336,0.8906507554807256,0.0625,No
DT,AutoEncoder,8,0.8899837638395617,0.8906507554807256,0.8125,No
DT,AutoEncoder,16,0.891889456019048,0.8906507554807256,0.0625,No
DT,StatFeatures,4,0.8167071669053015,0.8906507554807256,0.0625,No
DT,StatFeatures,8,0.888969836759746,0.8906507554807256,0.625,No
DT,StatFeatures,16,0.8824733611920361,0.8906507554807256,0.0625,No
RF,PCA,4,0.890709159829342,0.8881197313409427,0.3125,No
RF,PCA,8,0.8929516877081344,0.8881197313409427,0.0625,No
RF,PCA,16,0.8906038205359353,0.8881197313409427,1.0,No
RF,LDA,4,0.8911321269159986,0.8881197313409427,0.3125,No
RF,LDA,8,0.8907325140868313,0.8881197313409427,1.0,No
RF,LDA,16,0.8904152710155344,0.8881197313409427,0.625,No
RF,KernelPCA,4,0.8293247756598928,0.8881197313409427,0.0625,No
RF,KernelPCA,8,0.7686652618562683,0.8881197313409427,0.0625,No
RF,KernelPCA,16,0.7828698653256636,0.8881197313409427,0.0625,No
RF,AutoEncoder,4,0.86801060097819,0.8881197313409427,0.0625,No
RF,AutoEncoder,8,0.8908756591910102,0.8881197313409427,0.1875,No
RF,AutoEncoder,16,0.8911920017121115,0.8881197313409427,0.4375,No
RF,StatFeatures,4,0.7802493843591226,0.8881197313409427,0.0625,No
RF,StatFeatures,8,0.8861185971828357,0.8881197313409427,0.625,No
RF,StatFeatures,16,0.8856782481884412,0.8881197313409427,0.625,No
XGB,PCA,4,0.8923249974292509,0.7939031119718433,0.0625,No
XGB,PCA,8,0.8924373776409469,0.7939031119718433,0.0625,No
XGB,PCA,16,0.891998878580241,0.7939031119718433,0.0625,No
XGB,LDA,4,0.891334742062828,0.7939031119718433,0.0625,No
XGB,LDA,8,0.8912753816563873,0.7939031119718433,0.0625,No
XGB,LDA,16,0.8908374516425518,0.7939031119718433,0.0625,No
XGB,KernelPCA,4,0.8284900868260546,0.7939031119718433,0.0625,No
XGB,KernelPCA,8,0.7719727704801634,0.7939031119718433,0.0625,No
XGB,KernelPCA,16,0.7964477295149004,0.7939031119718433,0.625,No
XGB,AutoEncoder,4,0.8560200028107591,0.7939031119718433,0.0625,No
XGB,AutoEncoder,8,0.8886874234193998,0.7939031119718433,0.0625,No
XGB,AutoEncoder,16,0.877545008920405,0.7939031119718433,0.0625,No
XGB,StatFeatures,4,0.8119307783503326,0.7939031119718433,0.0625,No
XGB,StatFeatures,8,0.8894592668937722,0.7939031119718433,0.0625,No
XGB,StatFeatures,16,0.8899949536887825,0.7939031119718433,0.0625,No
LGBM,PCA,4,0.7812527788533911,0.8908645263158886,1.0,No
LGBM,PCA,8,0.892521910103814,0.8908645263158886,0.0625,No
LGBM,PCA,16,0.8918755776323497,0.8908645263158886,0.3125,No
LGBM,LDA,4,0.8906318201237967,0.8908645263158886,0.3125,No
LGBM,LDA,8,0.8911392754698528,0.8908645263158886,0.125,No
LGBM,LDA,16,0.8913965949075309,0.8908645263158886,0.0625,No
LGBM,KernelPCA,4,0.3208594791379321,0.8908645263158886,0.0625,No
LGBM,KernelPCA,8,0.6116118109669589,0.8908645263158886,0.0625,No
LGBM,KernelPCA,16,0.6551600910395663,0.8908645263158886,0.0625,No
LGBM,AutoEncoder,4,0.7099831665458616,0.8908645263158886,0.0625,No
LGBM,AutoEncoder,8,0.8908233924685227,0.8908645263158886,0.8125,No
LGBM,AutoEncoder,16,0.8617063953763304,0.8908645263158886,0.8125,No
LGBM,StatFeatures,4,0.8160331753107093,0.8908645263158886,0.0625,No
LGBM,StatFeatures,8,0.8900496508363362,0.8908645263158886,0.4375,No
LGBM,StatFeatures,16,0.8896666934035677,0.8908645263158886,0.0625,No
KNN,PCA,4,0.7530259234379769,0.7573308278567387,0.0625,No
KNN,PCA,8,0.750165397446104,0.7573308278567387,0.3125,No
KNN,PCA,16,0.755271887785866,0.7573308278567387,0.8125,No
KNN,LDA,4,0.7571800977429113,0.7573308278567387,0.3125,No
KNN,LDA,8,0.7541204752690158,0.7573308278567387,0.0625,No
KNN,LDA,16,0.7568909746147743,0.7573308278567387,0.0625,No
KNN,KernelPCA,4,0.7128444396939866,0.7573308278567387,0.0625,No
KNN,KernelPCA,8,0.6782627864135369,0.7573308278567387,0.0625,No
KNN,KernelPCA,16,0.7005218723519653,0.7573308278567387,0.0625,No
KNN,AutoEncoder,4,0.7479956978083221,0.7573308278567387,0.0625,No
KNN,AutoEncoder,8,0.7574268631345652,0.7573308278567387,0.625,No
KNN,AutoEncoder,16,0.754727189444612,0.7573308278567387,0.625,No
KNN,StatFeatures,4,0.6798017921374563,0.7573308278567387,0.0625,No
KNN,StatFeatures,8,0.679887413300628,0.7573308278567387,0.0625,No
KNN,StatFeatures,16,0.679929946183919,0.7573308278567387,0.0625,No
MLP,PCA,4,0.8645355659952288,0.8789457964977855,0.0625,No
MLP,PCA,8,0.8797936995729125,0.8789457964977855,0.3125,No
MLP,PCA,16,0.8792036931626376,0.8789457964977855,1.0,No
MLP,LDA,4,0.8806236600723611,0.8789457964977855,0.3125,No
MLP,LDA,8,0.8912970848894541,0.8789457964977855,0.0625,No
MLP,LDA,16,0.8874437690528179,0.8789457964977855,0.125,No
MLP,KernelPCA,4,0.7299495071369279,0.8789457964977855,0.0625,No
MLP,KernelPCA,8,0.7344672884405723,0.8789457964977855,0.0625,No
MLP,KernelPCA,16,0.8103811329364167,0.8789457964977855,0.0625,No
MLP,AutoEncoder,4,0.8582344189066937,0.8789457964977855,0.0625,No
MLP,AutoEncoder,8,0.8740911101145311,0.8789457964977855,0.0625,No
MLP,AutoEncoder,16,0.8788208694339632,0.8789457964977855,0.8125,No
MLP,StatFeatures,4,0.8026675192912502,0.8789457964977855,0.0625,No
MLP,StatFeatures,8,0.8667736220739671,0.8789457964977855,0.0625,No
MLP,StatFeatures,16,0.8722787121883939,0.8789457964977855,0.0625,No
