Classifier,FS,K,FS_F1_mean,Baseline_F1_mean,p_value,significant (alpha=0.05)
DT,Correlation,4,0.11559468418474143,0.8906507554807256,0.0625,No
DT,Correlation,8,0.3316347619770216,0.8906507554807256,0.0625,No
DT,Correlation,16,0.8010459242110249,0.8906507554807256,0.0625,No
DT,ChiSquare,4,0.22443686043197864,0.8906507554807256,0.0625,No
DT,ChiSquare,8,0.3090298792562178,0.8906507554807256,0.0625,No
DT,ChiSquare,16,0.638281011451346,0.8906507554807256,0.0625,No
DT,XGB_Importance,4,0.36569065453908917,0.8906507554807256,0.0625,No
DT,XGB_Importance,8,0.6404588868390887,0.8906507554807256,0.0625,No
DT,XGB_Importance,16,0.890360184500838,0.8906507554807256,0.125,No
DT,SHAP,4,0.7793450828434377,0.8906507554807256,0.0625,No
DT,SHAP,8,0.8878421749264745,0.8906507554807256,0.0625,No
DT,SHAP,16,0.8892350323681066,0.8906507554807256,0.0625,No
DT,RFE,4,0.5562994842307747,0.8906507554807256,0.0625,No
DT,RFE,8,0.8891239551472034,0.8906507554807256,0.0625,No
DT,RFE,16,0.8907383559272303,0.8906507554807256,0.4375,No
DT,Consensus,4,0.7228001178623626,0.8906507554807256,0.0625,No
DT,Consensus,8,0.8126269216692277,0.8906507554807256,0.0625,No
DT,Consensus,16,0.8905483229698892,0.8906507554807256,0.625,No
RF,Correlation,4,0.1476906734676033,0.8881197313409427,0.0625,No
RF,Correlation,8,0.33002853307297075,0.8881197313409427,0.0625,No
RF,Correlation,16,0.8025339800591687,0.8881197313409427,0.0625,No
RF,ChiSquare,4,0.25656909606982475,0.8881197313409427,0.0625,No
RF,ChiSquare,8,0.3411601870946066,0.8881197313409427,0.0625,No
RF,ChiSquare,16,0.6400968458562095,0.8881197313409427,0.0625,No
RF,XGB_Importance,4,0.36958896320961276,0.8881197313409427,0.0625,No
RF,XGB_Importance,8,0.6519293012308705,0.8881197313409427,0.0625,No
RF,XGB_Importance,16,0.8872503674921589,0.8881197313409427,0.3125,No
RF,SHAP,4,0.7944055878299533,0.8881197313409427,0.0625,No
RF,SHAP,8,0.8811771747835844,0.8881197313409427,0.125,No
RF,SHAP,16,0.8746541542841694,0.8881197313409427,0.0625,No
RF,RFE,4,0.5564078435133221,0.8881197313409427,0.0625,No
RF,RFE,8,0.8873358372940588,0.8881197313409427,0.625,No
RF,RFE,16,0.8908137702971832,0.8881197313409427,0.125,No
RF,Consensus,4,0.726545738978435,0.8881197313409427,0.0625,No
RF,Consensus,8,0.8159563956432911,0.8881197313409427,0.0625,No
RF,Consensus,16,0.8882636862008901,0.8881197313409427,0.3125,No
XGB,Correlation,4,0.11559816512314183,0.7939031119718433,0.0625,No
XGB,Correlation,8,0.33163488836200045,0.7939031119718433,0.0625,No
XGB,Correlation,16,0.7999377813739097,0.7939031119718433,0.125,No
XGB,ChiSquare,4,0.22443900269568476,0.7939031119718433,0.0625,No
XGB,ChiSquare,8,0.2935270182311102,0.7939031119718433,0.0625,No
XGB,ChiSquare,16,0.613550680194091,0.7939031119718433,0.0625,No
XGB,XGB_Importance,4,0.36822578468894296,0.7939031119718433,0.0625,No
XGB,XGB_Importance,8,0.5101361888868692,0.7939031119718433,0.0625,No
XGB,XGB_Importance,16,0.8030862878104553,0.7939031119718433,0.8125,No
XGB,SHAP,4,0.7862189630271378,0.7939031119718433,0.3125,No
XGB,SHAP,8,0.7989944506174627,0.7939031119718433,0.625,No
XGB,SHAP,16,0.7942858492568299,0.7939031119718433,0.625,No
XGB,RFE,4,0.5566397325376602,0.7939031119718433,0.0625,No
XGB,RFE,8,0.7953414924015506,0.7939031119718433,1.0,No
XGB,RFE,16,0.7993542311289363,0.7939031119718433,0.8125,No
XGB,Consensus,4,0.7199932998216477,0.7939031119718433,0.0625,No
XGB,Consensus,8,0.8123798431928908,0.7939031119718433,0.0625,No
XGB,Consensus,16,0.7977404530282503,0.7939031119718433,0.8125,No
LGBM,Correlation,4,0.11137971777633496,0.8908645263158886,0.0625,No
LGBM,Correlation,8,0.33163488553029813,0.8908645263158886,0.0625,No
LGBM,Correlation,16,0.8003339187351532,0.8908645263158886,0.0625,No
LGBM,ChiSquare,4,0.22278354800749706,0.8908645263158886,0.0625,No
LGBM,ChiSquare,8,0.3090298792562178,0.8908645263158886,0.0625,No
LGBM,ChiSquare,16,0.6392271993254571,0.8908645263158886,0.0625,No
LGBM,XGB_Importance,4,0.36859001443891837,0.8908645263158886,0.0625,No
LGBM,XGB_Importance,8,0.2854993274345328,0.8908645263158886,0.0625,No
LGBM,XGB_Importance,16,0.8905002368295204,0.8908645263158886,0.0625,No
LGBM,SHAP,4,0.3813537842509026,0.8908645263158886,0.0625,No
LGBM,SHAP,8,0.41210237565957825,0.8908645263158886,0.0625,No
LGBM,SHAP,16,0.8892217830126846,0.8908645263158886,0.0625,No
LGBM,RFE,4,0.5566669551615191,0.8908645263158886,0.0625,No
LGBM,RFE,8,0.8891064126526723,0.8908645263158886,0.0625,No
LGBM,RFE,16,0.8910146555803881,0.8908645263158886,0.625,No
LGBM,Consensus,4,0.343711430234661,0.8908645263158886,0.0625,No
LGBM,Consensus,8,0.8124677835635342,0.8908645263158886,0.0625,No
LGBM,Consensus,16,0.8907048924710514,0.8908645263158886,0.8125,No
KNN,Correlation,4,0.01567628428128258,0.7573308278567387,0.0625,No
KNN,Correlation,8,0.12172286714094727,0.7573308278567387,0.0625,No
KNN,Correlation,16,0.5323274282299304,0.7573308278567387,0.0625,No
KNN,ChiSquare,4,0.11568554220452129,0.7573308278567387,0.0625,No
KNN,ChiSquare,8,0.3090298792562178,0.7573308278567387,0.0625,No
KNN,ChiSquare,16,0.4114199652280618,0.7573308278567387,0.0625,No
KNN,XGB_Importance,4,0.16509873712397244,0.7573308278567387,0.0625,No
KNN,XGB_Importance,8,0.4527869159856789,0.7573308278567387,0.0625,No
KNN,XGB_Importance,16,0.7555307266446178,0.7573308278567387,0.0625,No
KNN,SHAP,4,0.5546811908091829,0.7573308278567387,0.0625,No
KNN,SHAP,8,0.7378970607783325,0.7573308278567387,0.0625,No
KNN,SHAP,16,0.741119188803025,0.7573308278567387,0.0625,No
KNN,RFE,4,0.3295343484309146,0.7573308278567387,0.0625,No
KNN,RFE,8,0.7393845263968748,0.7573308278567387,0.0625,No
KNN,RFE,16,0.7544318375991814,0.7573308278567387,0.0625,No
KNN,Consensus,4,0.33540774469126405,0.7573308278567387,0.0625,No
KNN,Consensus,8,0.594418822352948,0.7573308278567387,0.0625,No
KNN,Consensus,16,0.7560106979355165,0.7573308278567387,0.0625,No
MLP,Correlation,4,0.13024872129921358,0.8789457964977855,0.0625,No
MLP,Correlation,8,0.301908065685442,0.8789457964977855,0.0625,No
MLP,Correlation,16,0.7802134965800398,0.8789457964977855,0.0625,No
MLP,ChiSquare,4,0.22161177260300943,0.8789457964977855,0.0625,No
MLP,ChiSquare,8,0.3409121345622803,0.8789457964977855,0.0625,No
MLP,ChiSquare,16,0.6520527758800492,0.8789457964977855,0.0625,No
MLP,XGB_Importance,4,0.31637481155672054,0.8789457964977855,0.0625,No
MLP,XGB_Importance,8,0.5583066215922526,0.8789457964977855,0.0625,No
MLP,XGB_Importance,16,0.880732149749511,0.8789457964977855,0.8125,No
MLP,SHAP,4,0.7016659412461685,0.8789457964977855,0.0625,No
MLP,SHAP,8,0.8560672531715998,0.8789457964977855,0.0625,No
MLP,SHAP,16,0.8654269709187545,0.8789457964977855,0.0625,No
MLP,RFE,4,0.5298967194120033,0.8789457964977855,0.0625,No
MLP,RFE,8,0.8739177677045806,0.8789457964977855,0.3125,No
MLP,RFE,16,0.881170445162005,0.8789457964977855,0.625,No
MLP,Consensus,4,0.7083549344398514,0.8789457964977855,0.0625,No
MLP,Consensus,8,0.8047888565973793,0.8789457964977855,0.0625,No
MLP,Consensus,16,0.8711854799495777,0.8789457964977855,0.1875,No
